participant,participant_order,participant_session,condition,condition_session,source_file,answer_no,answer_latency_s,correct_alignment,is_correct,valid_selected_answer,candidate_index,selected_index,position,depth,candidate_changes_before_answer,unique_candidates_before_answer,detail_entries_before_answer,selection_confirmations_before_answer,pose_losses_before_answer,path_distance_before_answer,target_proxy_index,wrong_candidate_visit_events_proxy,wrong_unique_candidates_proxy,wrong_detail_visits_proxy,wrong_selection_confirmations_proxy,wrong_touches_rule,answered_touches_rule,wrong_selection_touches_rule
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,1,9.70704,True,True,True,5.0,5.0,0.7502,0.6237,6,4,1,1,0,1.2024742214509525,5.0,4.0,3.0,0.0,0.0,0,1,0
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2,45.0,True,True,True,6.0,6.0,0.9167,0.631,12,3,1,1,2,1.6267763891003868,6.0,6.0,2.0,0.0,0.0,0,1,0
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,1,7.304067,True,True,True,7.0,7.0,0.9902,0.6196,4,4,1,1,0,0.8269738447218207,7.0,3.0,3.0,0.0,0.0,0,1,0
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2,21.97,True,True,True,1.0,1.0,0.1462,0.6579,7,6,1,1,0,1.1810329132498565,1.0,6.0,5.0,0.0,0.0,1,1,0
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,1,16.760877,False,True,True,3.0,2.0,0.3274,0.5079,7,3,1,1,1,1.125014223086858,2.0,4.0,2.0,0.0,0.0,1,1,0
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2,43.640288,True,True,True,6.0,6.0,0.8226,0.3908,5,4,1,1,2,1.6507619624845766,6.0,4.0,3.0,0.0,0.0,0,1,0
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,1,23.870509,True,True,True,1.0,1.0,0.5356,0.371,3,3,1,1,1,0.9852121489070806,1.0,2.0,2.0,0.0,0.0,1,1,0
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,2,28.962653,True,True,True,5.0,5.0,0.6276,0.3866,3,2,2,2,2,1.3791140674650055,5.0,1.0,1.0,0.0,0.0,4,1,1
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,1,5.298882,True,True,True,4.0,4.0,0.6501,0.3778,1,1,1,1,0,0.33782331167988355,4.0,0.0,0.0,0.0,0.0,0,1,0
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,2,69.061908,True,True,True,1.0,1.0,0.3045,0.336,16,5,2,2,9,1.2348292407390864,1.0,13.0,4.0,1.0,1.0,8,1,1
