participant,participant_order,participant_session,condition,condition_session,source_file,mode,duration_s
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,Overview,27.2002269
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,Browsing,25.7154305
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,TouchConfirmed,0.9041108
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,Detail,16.395878200000002
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,Overview,13.6732788
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,Browsing,20.989174600000002
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,TouchConfirmed,0.897604
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,Detail,12.9150407
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,Overview,52.650491499999994
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,Browsing,21.6800322
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,TouchConfirmed,0.8979341000000001
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,Detail,15.6972672
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,Overview,15.7622996
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,Browsing,23.850557899999995
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,TouchConfirmed,0.0
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,Detail,19.0538525
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Overview,22.537926500000005
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Browsing,56.8528959
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,TouchConfirmed,0.0
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Detail,14.2228741
1,MoveFirst,6,Baseline,3,user_events_20260610_142511_355.tsv,Overview,11.077325499999999
1,MoveFirst,6,Baseline,3,user_events_20260610_142511_355.tsv,Browsing,33.3042932
1,MoveFirst,6,Baseline,3,user_events_20260610_142511_355.tsv,TouchConfirmed,0.0
1,MoveFirst,6,Baseline,3,user_events_20260610_142511_355.tsv,Detail,7.5192473
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Overview,17.708756000000005
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Browsing,41.24721660000001
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,TouchConfirmed,0.0
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Detail,35.480968600000004
2,TouchFirst,2,Baseline,2,user_events_20260610_144640_799.tsv,Overview,6.403080200000001
2,TouchFirst,2,Baseline,2,user_events_20260610_144640_799.tsv,Browsing,34.794066900000004
2,TouchFirst,2,Baseline,2,user_events_20260610_144640_799.tsv,TouchConfirmed,0.0
2,TouchFirst,2,Baseline,2,user_events_20260610_144640_799.tsv,Detail,20.6200471
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Overview,6.6514904999999995
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Browsing,146.4065825
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,TouchConfirmed,0.0
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Detail,58.706751399999995
2,TouchFirst,4,Ours,1,user_events_20260610_145432_576.tsv,Overview,12.870754
2,TouchFirst,4,Ours,1,user_events_20260610_145432_576.tsv,Browsing,26.447183899999995
2,TouchFirst,4,Ours,1,user_events_20260610_145432_576.tsv,TouchConfirmed,1.3522466
2,TouchFirst,4,Ours,1,user_events_20260610_145432_576.tsv,Detail,14.928847500000002
2,TouchFirst,5,Ours,2,user_events_20260610_145538_801.tsv,Overview,3.6421256
2,TouchFirst,5,Ours,2,user_events_20260610_145538_801.tsv,Browsing,15.391030599999999
2,TouchFirst,5,Ours,2,user_events_20260610_145538_801.tsv,TouchConfirmed,0.9001002
2,TouchFirst,5,Ours,2,user_events_20260610_145538_801.tsv,Detail,11.8199405
2,TouchFirst,6,Ours,3,user_events_20260610_145619_786.tsv,Overview,4.5424783
2,TouchFirst,6,Ours,3,user_events_20260610_145619_786.tsv,Browsing,11.5370845
2,TouchFirst,6,Ours,3,user_events_20260610_145619_786.tsv,TouchConfirmed,1.3474152
2,TouchFirst,6,Ours,3,user_events_20260610_145619_786.tsv,Detail,17.7414187
3,MoveFirst,1,Ours,1,user_events_20260610_151932_608.tsv,Overview,17.7905166
