participant,participant_order,participant_session,condition,condition_session,source_file,from_mode,to_mode,transition,direction,position,depth,pre_3s_events,pre_3s_candidate_changes,pre_3s_path_distance,pre_3s_position_delta,pre_3s_depth_delta
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,Overview,Browsing,Overview -> Browsing,forward,0.4971,0.4881,1,0,0.0,-0.0029000000000000137,-0.011900000000000022
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,Browsing,TouchConfirmed,Browsing -> TouchConfirmed,forward,0.6456,0.5897,1,1,0.0,-0.10410000000000008,0.0353
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,TouchConfirmed,Detail,TouchConfirmed -> Detail,forward,0.6698,0.6382,5,1,0.15938546390426375,-0.07990000000000008,0.08379999999999999
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,Detail,Overview,Detail -> Overview,backward,0.7716,0.6391,1,1,0.0,0.021399999999999975,0.01539999999999997
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,Overview,Browsing,Overview -> Browsing,forward,0.7715,0.639,4,1,0.02636512848442044,0.021299999999999986,0.01529999999999998
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,Browsing,Overview,Browsing -> Overview,backward,0.6642,0.1165,1,0,0.0,0.0,0.0
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,Overview,Browsing,Overview -> Browsing,forward,0.665,0.1165,1,0,0.0,0.0008000000000000229,0.0
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,Browsing,TouchConfirmed,Browsing -> TouchConfirmed,forward,0.8511,0.6544,1,0,0.0,0.0,0.0
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,TouchConfirmed,Detail,TouchConfirmed -> Detail,forward,0.8494,0.6551,3,0,0.0,-0.0016999999999999238,0.0007000000000000339
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,Detail,Overview,Detail -> Overview,backward,0.7878,0.1355,1,1,0.0,-0.12870000000000004,-0.3065
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,Overview,Browsing,Overview -> Browsing,forward,0.4994,0.4952,1,0,0.0,-0.0005999999999999894,-0.0048000000000000265
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,Browsing,TouchConfirmed,Browsing -> TouchConfirmed,forward,0.9908,0.5796,2,0,0.0,0.0,0.0
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,TouchConfirmed,Detail,TouchConfirmed -> Detail,forward,0.9902,0.6196,3,0,0.0,-0.0006000000000000449,0.040000000000000036
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,Detail,Browsing,Detail -> Browsing,backward,0.989,0.635,1,0,0.0,0.0,0.0
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,Browsing,TouchConfirmed,Browsing -> TouchConfirmed,forward,0.0519,0.6212,1,0,0.0,0.0,0.0
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,TouchConfirmed,Detail,TouchConfirmed -> Detail,forward,0.1462,0.6579,5,1,0.1139211035113637,0.0943,0.036700000000000066
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,Overview,Browsing,Overview -> Browsing,forward,0.4974,0.4944,1,0,0.0,-0.002599999999999991,-0.005599999999999994
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,Browsing,Overview,Browsing -> Overview,backward,0.1078,0.6478,1,1,0.0,-0.142,0.01419999999999999
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,Overview,Browsing,Overview -> Browsing,forward,0.1086,0.6477,3,0,0.0,0.0007999999999999952,-9.999999999998899e-05
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,Browsing,TouchConfirmed,Browsing -> TouchConfirmed,forward,0.1793,0.6367,1,1,0.0,-0.0703,-0.0017999999999999128
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,TouchConfirmed,Detail,TouchConfirmed -> Detail,forward,0.1949,0.6521,6,1,0.08892463848865959,-0.0547,0.013600000000000056
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,Detail,Overview,Detail -> Overview,backward,0.3273,0.5086,2,0,0.0007071067811865874,-0.0001000000000000445,0.0007000000000000339
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,Overview,Browsing,Overview -> Browsing,forward,0.3269,0.5088,4,0,0.0007071067811865874,-0.0005000000000000004,0.0009000000000000119
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,Browsing,Overview,Browsing -> Overview,backward,0.353,0.126,0,0,0.0,,
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,Overview,Browsing,Overview -> Browsing,forward,0.3586,0.1259,0,0,0.0,,
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,Browsing,TouchConfirmed,Browsing -> TouchConfirmed,forward,0.8173,0.6526,2,0,0.0,0.0,0.0
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,TouchConfirmed,Detail,TouchConfirmed -> Detail,forward,0.7842,0.6666,3,0,0.0,-0.03310000000000002,0.014000000000000012
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,Detail,Overview,Detail -> Overview,backward,0.6818,0.141,1,1,0.0,-0.06810000000000005,-0.11430000000000004
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,Overview,Browsing,Overview -> Browsing,forward,0.4947,0.5016,3,0,0.0,-0.005300000000000027,0.0016000000000000458
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,Browsing,Overview,Browsing -> Overview,backward,0.1244,0.613,6,1,0.3922299860824277,-0.3756,0.11299999999999999
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,Overview,Browsing,Overview -> Browsing,forward,0.1351,0.6202,1,0,0.0,0.010700000000000001,0.007199999999999984
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,Browsing,Detail,Browsing -> Detail,forward,0.4165,0.3118,4,1,0.06585816710999343,0.0237,-0.020699999999999996
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,Detail,Browsing,Detail -> Browsing,backward,0.5324,0.3874,0,0,0.0,,
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,Browsing,Overview,Browsing -> Overview,backward,0.5447,0.8872,0,0,0.0,,
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,Overview,Browsing,Overview -> Browsing,forward,0.5456,0.8879,1,0,0.0,0.0009000000000000119,0.0007000000000000339
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,Browsing,Overview,Browsing -> Overview,backward,0.6285,0.3094,1,0,0.0,-0.019600000000000062,0.010599999999999998
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,Overview,Browsing,Overview -> Browsing,forward,0.6286,0.3096,3,0,0.022282728737746695,-0.019499999999999962,0.010799999999999976
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,Browsing,Detail,Browsing -> Detail,forward,0.6436,0.3285,8,1,0.04663536369661413,-0.0045000000000000595,0.029700000000000004
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,Detail,Browsing,Detail -> Browsing,backward,0.6272,0.3014,10,1,0.04777591397782627,-0.0012999999999999678,-0.008000000000000007
1,MoveFirst,4,Baseline,1,user_events_20260610_142216_306.tsv,Browsing,Detail,Browsing -> Detail,forward,0.6263,0.3403,5,0,0.03893451837867149,-0.0009000000000000119,0.03889999999999999
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Overview,Browsing,Overview -> Browsing,forward,0.5006,0.5037,1,0,0.0,0.0006000000000000449,0.0037000000000000366
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Browsing,Detail,Browsing -> Detail,forward,0.6113,0.3666,4,1,0.17996098858094622,0.11129999999999995,-0.13340000000000002
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Detail,Overview,Detail -> Overview,backward,0.639,0.3814,1,0,0.0,-0.011099999999999999,0.003599999999999992
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Overview,Browsing,Overview -> Browsing,forward,0.6391,0.38,3,0,0.01166919020326603,-0.01100000000000001,0.0021999999999999797
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Browsing,Detail,Browsing -> Detail,forward,0.6386,0.3033,6,1,0.07810519659365392,-0.00040000000000006697,-0.0781
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Detail,Overview,Detail -> Overview,backward,0.5181,0.2849,1,0,0.0,-0.10260000000000002,-0.003599999999999992
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Overview,Browsing,Overview -> Browsing,forward,0.5153,0.2865,4,0,0.10266313846751425,-0.10540000000000005,-0.0020000000000000018
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Browsing,Overview,Browsing -> Overview,backward,0.4433,0.2728,5,1,0.0032249030993194367,-0.07479999999999998,-0.0121
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Overview,Browsing,Overview -> Browsing,forward,0.4432,0.2726,7,1,0.07651671710334033,-0.07490000000000002,-0.012299999999999978
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Browsing,Overview,Browsing -> Overview,backward,0.4158,0.2923,1,0,0.0,0.0,0.0
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Overview,Browsing,Overview -> Browsing,forward,0.4158,0.2923,3,0,0.0,0.0,0.0
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Browsing,Overview,Browsing -> Overview,backward,0.4243,0.2519,6,2,0.06366513615951114,0.03210000000000002,0.029500000000000026
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Overview,Browsing,Overview -> Browsing,forward,0.4251,0.2524,0,0,0.0,,
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Browsing,Overview,Browsing -> Overview,backward,0.3687,0.2296,1,0,0.0,0.0,0.0
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Overview,Browsing,Overview -> Browsing,forward,0.3694,0.2303,3,0,0.0,0.0006999999999999784,0.0007000000000000062
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Browsing,Overview,Browsing -> Overview,backward,0.3903,0.3003,4,1,0.03823544294114167,-0.017800000000000038,0.0262
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Overview,Browsing,Overview -> Browsing,forward,0.3908,0.3006,5,1,0.03823544294114167,-0.017300000000000038,0.026499999999999968
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Browsing,Overview,Browsing -> Overview,backward,0.3694,0.257,2,0,0.046258836993595065,-0.0408,-0.021799999999999986
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Overview,Browsing,Overview -> Browsing,forward,0.3698,0.2573,3,0,0.0,0.00040000000000001146,0.00029999999999996696
