participant,participant_order,participant_session,condition,condition_session,source_file,timestamp_utc,seconds_from_active_start,event,mode,position,depth
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:31.035437600+00:00,-11.786586,session_start,Overview,0.5,0.5
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:31.043490100+00:00,-11.778533,pose_tracking_lost,Overview,0.5,0.5
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:42.821517800+00:00,-0.0005049999999999777,pose_tracking_restored,Overview,0.5,0.5
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:42.822022800+00:00,0.0,mode_changed,Browsing,0.4971,0.4881
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:42.822022800+00:00,0.0,candidate_changed,Browsing,0.4971,0.4881
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:43.087077600+00:00,0.265054,candidate_changed,Browsing,0.4167,0.1453
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:43.340602300+00:00,0.518579,candidate_changed,Browsing,0.4174,0.1125
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:44.495465200+00:00,1.673442,candidate_changed,Browsing,0.5835,0.319
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:45.868742600+00:00,3.046719,candidate_changed,Browsing,0.7506,0.4821
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:46.820460100+00:00,3.998437,candidate_changed,Browsing,0.7497,0.5544
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:49.071513900+00:00,6.249491,touch_started,Browsing,0.6456,0.5897
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:49.071513900+00:00,6.249491,selection_confirmed,Browsing,0.6456,0.5897
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:49.071513900+00:00,6.249491,mode_changed,TouchConfirmed,0.6456,0.5897
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:49.401903700+00:00,6.57988,touch_ended,TouchConfirmed,0.665,0.6352
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:49.525523200+00:00,6.7035,mode_changed,Detail,0.6698,0.6382
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:49.525523200+00:00,6.7035,detail_entered,Detail,0.6698,0.6382
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:52.529063200+00:00,9.70704,space_pressed,Detail,0.7502,0.6237
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:53.313365600+00:00,10.491342,candidate_changed,Detail,0.7502,0.6237
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:55.931806100+00:00,13.109783,pose_tracking_lost,Detail,0.7716,0.6391
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:55.931806100+00:00,13.109783,mode_changed,Overview,0.7716,0.6391
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:56.047955300+00:00,13.225932,pose_tracking_restored,Overview,0.7716,0.6391
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:56.048964200+00:00,13.226941,mode_changed,Browsing,0.7715,0.639
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:56.048964200+00:00,13.226941,candidate_changed,Browsing,0.7715,0.639
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:10:58.837785400+00:00,16.015762,candidate_changed,Browsing,0.75,0.5972
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:03.718099500+00:00,20.896076,pose_tracking_lost,Browsing,0.6642,0.1165
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:03.719105600+00:00,20.897082,mode_changed,Overview,0.6642,0.1165
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:18.546291600+00:00,35.724268,pose_tracking_restored,Overview,0.6642,0.1165
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:18.547293+00:00,35.72527,mode_changed,Browsing,0.665,0.1165
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:18.548291900+00:00,35.726269,candidate_changed,Browsing,0.665,0.1165
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:19.299419600+00:00,36.477396,candidate_changed,Browsing,0.7501,0.2072
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:20.835282+00:00,38.013259,candidate_changed,Browsing,0.9168,0.5041
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:21.660243700+00:00,38.83822,candidate_changed,Browsing,0.9165,0.589
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:22.734913800+00:00,39.912891,candidate_changed,Browsing,0.7499,0.6409
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:23.988434100+00:00,41.166411,candidate_changed,Browsing,0.7502,0.6589
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:24.642060100+00:00,41.820037,candidate_changed,Browsing,0.9174,0.6564
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:26.307036400+00:00,43.485013,candidate_changed,Browsing,0.9167,0.6473
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:30.341573700+00:00,47.51955,touch_started,Browsing,0.8511,0.6544
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:30.343091+00:00,47.521068,selection_confirmed,Browsing,0.8511,0.6544
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:30.343091+00:00,47.521068,mode_changed,TouchConfirmed,0.8511,0.6544
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:30.793192500+00:00,47.971169,mode_changed,Detail,0.8494,0.6551
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:30.794200500+00:00,47.972177,detail_entered,Detail,0.8494,0.6551
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:31.917873800+00:00,49.095851,touch_ended,Detail,0.8461,0.654
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:33.260811600+00:00,50.438788,candidate_changed,Detail,0.9167,0.631
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:37.529063200+00:00,54.70704,space_pressed,Detail,0.9167,0.631
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:38.592362800+00:00,55.77034,candidate_changed,Detail,0.9165,0.442
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:40.782787800+00:00,57.960765,pose_tracking_lost,Detail,0.7878,0.1355
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:40.782787800+00:00,57.960765,mode_changed,Overview,0.7878,0.1355
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:41.248570400+00:00,58.426547,intro_back_clicked,Overview,0.7878,0.1355
1,MoveFirst,1,Ours,1,user_events_20260610_141031_033.tsv,2026-06-10 05:11:41.251084+00:00,58.429061,session_end,Overview,0.7878,0.1355
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:02.581716600+00:00,-13.673279,session_start,Overview,0.5,0.5
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:02.590274+00:00,-13.664722,pose_tracking_lost,Overview,0.5,0.5
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:16.253483100+00:00,-0.0015129999999999866,pose_tracking_restored,Overview,0.5,0.5
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:16.254995400+00:00,0.0,mode_changed,Browsing,0.4994,0.4952
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:16.254995400+00:00,0.0,candidate_changed,Browsing,0.4994,0.4952
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:18.367838700+00:00,2.112843,candidate_changed,Browsing,0.5838,0.2621
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:19.141521400+00:00,2.886526,candidate_changed,Browsing,0.7503,0.4103
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:19.859172400+00:00,3.604177,candidate_changed,Browsing,0.917,0.4571
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:23.095029+00:00,6.840033,touch_started,Browsing,0.9908,0.5796
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:23.096695900+00:00,6.8417,selection_confirmed,Browsing,0.9908,0.5796
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:23.098268700+00:00,6.843273,mode_changed,TouchConfirmed,0.9908,0.5796
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:23.546134400+00:00,7.291139,mode_changed,Detail,0.9902,0.6196
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:23.547140800+00:00,7.292145,detail_entered,Detail,0.9902,0.6196
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:23.559063200+00:00,7.304067,space_pressed,Detail,0.9902,0.6196
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:23.574964500+00:00,7.319969,touch_ended,Detail,0.9905,0.6197
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:28.533920100+00:00,12.278924,touch_started,Detail,0.989,0.635
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:28.535438500+00:00,12.280443,mode_changed,Browsing,0.989,0.635
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:28.535438500+00:00,12.280443,detail_exited,Browsing,0.989,0.635
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:28.856009900+00:00,12.601014,touch_ended,Browsing,0.9918,0.6409
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:33.184968100+00:00,16.929972,candidate_changed,Browsing,0.9146,0.6078
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:33.896569300+00:00,17.641573,candidate_changed,Browsing,0.7487,0.5773
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:34.504244+00:00,18.249248,candidate_changed,Browsing,0.5829,0.5914
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:35.196859200+00:00,18.941863,candidate_changed,Browsing,0.4141,0.5543
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:35.797155600+00:00,19.54216,candidate_changed,Browsing,0.2499,0.5435
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:36.107305100+00:00,19.852308999999998,candidate_changed,Browsing,0.0832,0.5201
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:42.680331400+00:00,26.425336,touch_started,Browsing,0.0519,0.6212
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:42.681339800+00:00,26.426344,selection_confirmed,Browsing,0.0519,0.6212
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:42.681339800+00:00,26.426344,mode_changed,TouchConfirmed,0.0519,0.6212
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:42.723292800+00:00,26.468297,candidate_changed,TouchConfirmed,0.0842,0.6361
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:43.004245600+00:00,26.74925,touch_ended,TouchConfirmed,0.1554,0.6688
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:43.131078100+00:00,26.876082,mode_changed,Detail,0.1462,0.6579
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:43.132583100+00:00,26.877587,detail_entered,Detail,0.1462,0.6579
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:45.529063200+00:00,29.274067,space_pressed,Detail,0.1462,0.6579
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:46.665951+00:00,30.410955,candidate_changed,Detail,0.0833,0.5838
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:46.813723300+00:00,30.558727,candidate_changed,Detail,0.0842,0.5946
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:49.069466700+00:00,32.814471,candidate_changed,Detail,0.256,0.5115
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:49.541110600+00:00,33.286115,candidate_changed,Detail,0.417,0.3624
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:51.054297400+00:00,34.799302,intro_back_clicked,Detail,0.5262,0.1523
1,MoveFirst,2,Ours,2,user_events_20260610_141202_580.tsv,2026-06-10 05:12:51.056814700+00:00,34.801819,session_end,Detail,0.5262,0.1523
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:10.103465700+00:00,-25.664721,session_start,Overview,0.5,0.5
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:10.112041800+00:00,-25.656145,pose_tracking_lost,Overview,0.5,0.5
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:35.755928100+00:00,-0.012257999999999991,pose_tracking_restored,Overview,0.5,0.5
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:35.768185900+00:00,0.0,mode_changed,Browsing,0.4974,0.4944
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:35.768185900+00:00,0.0,candidate_changed,Browsing,0.4974,0.4944
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:35.833695400+00:00,0.065509,candidate_changed,Browsing,0.4164,0.3199
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:39.274151200+00:00,3.5059649999999998,candidate_changed,Browsing,0.2498,0.6336
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:41.572931700+00:00,5.8047450000000005,pose_tracking_lost,Browsing,0.1078,0.6478
