participant,participant_order,participant_session,condition,condition_session,source_file,session_duration_s,active_duration_s,events,event_rate_per_min,answer_count,correct_answer_count,selection_accuracy,valid_answer_count,correct_alignment_count,correct_alignment_rate,time_to_first_answer_s,time_to_second_answer_s,candidate_changes,unique_candidates,candidate_reversals,detail_entries,detail_exits,selection_confirmations,mode_changes,forward_mode_transitions,backward_mode_transitions,pose_losses,pose_lost_duration_s,touch_starts,touch_duration_s,wrong_touches_rule,answered_touches_rule,wrong_touch_rate_rule,wrong_selection_touches_rule,path_distance_position_depth,position_range,depth_range
1,MoveFirst,1,MoveDistance,1,user_events_20260610_141031_033.tsv,70.215646,58.429061,49,50.31742680239205,2,2,1.0,2,2,1.0,9.70704,45.0,19,5,8,2,0,2,10,7,3,4,27.190663999999998,2,1.906689,0,2,0.0,0,3.3629233188105614,0.5006999999999999,0.5464
1,MoveFirst,2,MoveDistance,2,user_events_20260610_141202_580.tsv,48.475098,34.801819,39,67.23786477942431,2,2,1.0,2,2,1.0,7.304067,21.97,15,7,4,2,1,2,6,5,1,1,13.663209,3,1.125938,1,2,0.3333333333333333,0,2.767940012809972,0.9399,0.5165
1,MoveFirst,3,MoveDistance,3,user_events_20260610_141310_102.tsv,90.925725,65.261004,49,45.04987388793467,2,2,1.0,2,1,0.5,16.760877,43.640288,13,5,3,2,0,2,12,8,4,5,52.628226,3,0.9938560000000001,1,2,0.3333333333333333,0,3.0687706277911277,0.7148,0.5575
1,MoveFirst,4,ScreenTouch,1,user_events_20260610_142216_306.tsv,58.66671,58.017134,53,54.811394165040966,2,2,1.0,2,2,1.0,23.870509,28.962653,6,4,1,3,2,3,12,7,5,4,15.748595,7,7.165984000000001,5,2,0.7142857142857143,1,2.859662130111657,0.531,0.5960000000000001
1,MoveFirst,5,ScreenTouch,2,user_events_20260610_142325_337.tsv,93.613696,77.931032,89,68.52212607681109,2,2,1.0,2,2,1.0,5.298882,69.061908,17,5,9,3,0,3,22,13,9,10,22.528735000000005,10,27.78918,8,2,0.8,1,2.1349985312772732,0.4497,0.6469
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,51.900866,43.607224,70,96.3143170957179,2,2,1.0,1,1,1.0,19.317182,20.737005,12,4,4,3,1,3,13,8,5,5,11.063391999999999,12,12.201113,10,2,0.8333333333333334,1,3.2758391896569954,0.37240000000000006,0.6013
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,94.436941,79.816402,109,81.93804576658317,2,2,1.0,2,2,1.0,41.601357,33.67698,13,6,1,6,6,6,23,12,11,6,17.699226,19,15.633105999999998,17,2,0.8947368421052632,4,2.252298401441746,0.567,0.26070000000000004
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,61.817194,55.414114,88,95.2825845054565,2,2,1.0,2,2,1.0,20.840639,29.752098,10,7,1,6,5,6,12,7,5,1,6.39496,21,8.983265000000001,19,2,0.9047619047619048,4,1.9489173392445427,0.36910000000000004,0.5649
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,211.764824,210.568783,392,111.69746847043325,2,2,1.0,2,2,1.0,25.660419,181.021721,32,7,8,31,30,31,75,38,37,8,6.647409999999999,87,75.72708600000001,85,2,0.9770114942528736,29,5.673240452763334,0.5717,0.5347999999999999
2,TouchFirst,4,MoveDistance,1,user_events_20260610_145432_576.tsv,55.599032,42.728278,46,64.59422492991644,2,2,1.0,2,2,1.0,30.215689,10.106064,12,4,5,3,2,3,9,7,2,1,12.860619,5,3.610339,3,2,0.6,1,2.441006910257675,0.41690000000000005,0.4911
