participant,participant_order,participant_session,condition,condition_session,source_file,touch_kind,timestamp_utc,event,mode,candidate_index,selected_index,position,depth,wrong_touch,answered_touch
1,MoveFirst,1,MoveDistance,1,user_events_20260610_141031_033.tsv,touch_started,2026-06-10 05:10:49.071513900+00:00,touch_started,Browsing,5.0,,0.6456,0.5897,False,True
1,MoveFirst,1,MoveDistance,1,user_events_20260610_141031_033.tsv,touch_started,2026-06-10 05:11:30.341573700+00:00,touch_started,Browsing,6.0,,0.8511,0.6544,False,True
1,MoveFirst,1,MoveDistance,1,user_events_20260610_141031_033.tsv,selection_confirmed,2026-06-10 05:10:49.071513900+00:00,selection_confirmed,Browsing,5.0,5.0,0.6456,0.5897,False,True
1,MoveFirst,1,MoveDistance,1,user_events_20260610_141031_033.tsv,selection_confirmed,2026-06-10 05:11:30.343091+00:00,selection_confirmed,Browsing,6.0,6.0,0.8511,0.6544,False,True
1,MoveFirst,2,MoveDistance,2,user_events_20260610_141202_580.tsv,touch_started,2026-06-10 05:12:23.095029+00:00,touch_started,Browsing,7.0,,0.9908,0.5796,False,True
1,MoveFirst,2,MoveDistance,2,user_events_20260610_141202_580.tsv,touch_started,2026-06-10 05:12:28.533920100+00:00,touch_started,Detail,7.0,7.0,0.989,0.635,True,False
1,MoveFirst,2,MoveDistance,2,user_events_20260610_141202_580.tsv,touch_started,2026-06-10 05:12:42.680331400+00:00,touch_started,Browsing,1.0,,0.0519,0.6212,False,True
1,MoveFirst,2,MoveDistance,2,user_events_20260610_141202_580.tsv,selection_confirmed,2026-06-10 05:12:23.096695900+00:00,selection_confirmed,Browsing,7.0,7.0,0.9908,0.5796,False,True
1,MoveFirst,2,MoveDistance,2,user_events_20260610_141202_580.tsv,selection_confirmed,2026-06-10 05:12:42.681339800+00:00,selection_confirmed,Browsing,1.0,1.0,0.0519,0.6212,False,True
1,MoveFirst,3,MoveDistance,3,user_events_20260610_141310_102.tsv,touch_started,2026-06-10 05:13:46.358352100+00:00,touch_started,Browsing,2.0,,0.1793,0.6367,True,False
1,MoveFirst,3,MoveDistance,3,user_events_20260610_141310_102.tsv,touch_started,2026-06-10 05:13:46.681714100+00:00,touch_started,TouchConfirmed,2.0,2.0,0.1949,0.6461,False,True
1,MoveFirst,3,MoveDistance,3,user_events_20260610_141310_102.tsv,touch_started,2026-06-10 05:14:30.998640800+00:00,touch_started,Browsing,6.0,,0.8173,0.6526,False,True
1,MoveFirst,3,MoveDistance,3,user_events_20260610_141310_102.tsv,selection_confirmed,2026-06-10 05:13:46.358352100+00:00,selection_confirmed,Browsing,2.0,2.0,0.1793,0.6367,False,True
